claim_id,suspicious_score,is_fraud,flagged_by,review_status,review_date,reviewer,notes,risk_level,escalated
CLM100025,0.37788642683223406,0,system,confirmed,2025-05-08,Roy Sherman,Debate sit certain.,low,yes
CLM100026,0.02778083450978086,0,manual,cleared,2024-12-16,Samantha White,Thing herself first building.,low,no
CLM100027,0.5525369583759661,0,manual,cleared,2024-08-11,Ashlee Ferguson,Can pass above move participant knowledge.,high,no
CLM100028,0.11847935062290216,0,system,confirmed,2024-08-04,Michelle Johnson,Technology give drop.,high,yes
CLM100029,0.29366862768713387,0,audit,cleared,2024-12-07,Kathleen Lewis,Stage smile official during pick everything.,high,yes
CLM100030,0.7890770532783876,0,system,confirmed,2024-12-04,Matthew Melendez,Trial recent oil age test.,low,yes
CLM100031,0.20677351876577155,0,audit,cleared,2024-11-06,John Green,Establish situation least subject home.,medium,yes
CLM100032,0.10462767908980442,0,system,pending,2024-12-06,Cynthia Jordan,Cup include individual.,low,no
CLM100033,0.05788019473761796,0,manual,pending,2025-02-26,Ralph Ochoa MD,Of available receive.,low,no
CLM100034,0.02099522093363515,0,manual,pending,2025-04-12,Jennifer Norton,High worker player management paper.,high,yes
CLM100035,0.5686439964159457,0,system,pending,2024-09-10,Brian Krause,Deep very guy during baby.,medium,no
CLM100036,0.923111980462524,0,system,cleared,2025-01-21,Andrew Hernandez,Experience carry find.,medium,no
CLM100037,0.5951686242081574,0,system,confirmed,2024-11-16,Diana Hamilton,Pattern great show economic.,high,yes
CLM100038,0.6477802018816888,0,manual,pending,2025-03-31,Megan Tran,Would seek couple receive.,low,yes
CLM100039,0.8216344415569424,0,system,pending,2024-07-18,Deanna Blake,Leave hot but car others build make.,high,no
CLM100040,0.711181386063545,0,system,cleared,2025-05-27,Jessica Griffith,Dark science deal.,medium,yes
CLM100041,0.2782040210552389,0,audit,pending,2025-05-15,Victoria Mcdonald,Give good every begin commercial difference.,medium,no
CLM100042,0.027189006453165465,0,system,confirmed,2025-03-04,Kimberly Jones,Per me follow scene people interesting three.,low,yes
CLM100043,0.09914026265312081,0,manual,pending,2024-08-19,Christopher Castaneda,Probably effort take recently set.,low,yes
CLM100044,0.33714550981769487,0,audit,pending,2024-11-14,Mary Ortiz,Expert other season compare hear recently across meet.,high,yes
CLM100045,0.8199715198093593,0,system,confirmed,2025-05-09,Robert Simmons,Police trade term claim.,high,no
CLM100046,0.09068385024312609,0,audit,cleared,2024-08-11,Maria Harris,Movie find push have lawyer.,medium,no
CLM100047,0.20932774940903764,0,audit,pending,2024-10-25,Felicia Jones,Wall election campaign among meeting race war me.,medium,no
CLM100048,0.48548779735943115,0,manual,cleared,2024-07-23,Mark Fields,Get financial behavior science from single former article.,high,yes
CLM100049,0.8940552475171318,0,audit,cleared,2025-02-16,Mark Hines,Where hair black a staff tonight road.,high,no
CLM100050,0.18720252606559273,0,audit,confirmed,2024-10-16,Joan Freeman,Long factor beat pick.,medium,no
CLM100051,0.05523346558273867,0,system,pending,2025-02-14,Jack Adams,Student rule represent number growth nor.,high,no
CLM100052,0.7153487117370391,0,manual,pending,2025-01-14,Timothy Johnson,Yes picture across available figure.,low,no
CLM100053,0.5575768357940094,0,audit,pending,2024-10-17,Jonathan Myers,Laugh that society ability talk.,medium,no
CLM100054,0.21734434545158032,0,manual,confirmed,2024-10-07,Alexander Moore,Woman left power.,low,yes
CLM100055,0.27793470712383284,0,manual,confirmed,2025-05-26,Melissa Hubbard,Edge food already home.,low,no
CLM100056,0.08089010247490602,0,system,cleared,2025-05-01,Kristen Ward,Garden effect address laugh involve option.,high,yes
CLM100057,0.530780993880719,0,manual,cleared,2025-07-03,Norman Ochoa,Ten film enough sort crime board around ever.,medium,yes
CLM100058,0.8936678159221259,0,audit,pending,2025-07-03,Jenny Palmer,Show suddenly president difference.,low,no
CLM100059,0.9314272581452243,0,system,cleared,2025-01-08,Rebecca Smith,Vote son way use notice guy maybe.,high,no
CLM100060,0.22257163713730865,0,audit,pending,2025-07-16,Kevin Wood,Prepare need over lead decade.,medium,no
CLM100061,0.662081694680723,0,system,pending,2025-06-18,James Rogers,Scene rate list never note miss sure international.,high,no
CLM100062,0.09158972869571758,0,audit,confirmed,2025-01-19,Tammy Shaffer,Model daughter car.,low,no
CLM100063,0.4534910966108793,0,manual,cleared,2025-04-25,Donna Brady DVM,Believe three prevent quickly morning woman.,low,no
CLM100064,0.11637619265586496,0,audit,pending,2024-09-27,Chad Hall,Way class last current end today ago.,low,yes
CLM100065,0.7022221598938039,0,system,confirmed,2025-04-13,Mark Pace,Forget determine respond certainly top.,low,yes
CLM100066,0.7790131071431046,0,manual,cleared,2025-04-23,Michelle Sutton,Popular true result available.,low,no
CLM100067,0.9859455504072031,0,system,confirmed,2025-02-22,Summer Mcfarland,Focus present exactly stay state officer.,high,no
CLM100068,0.3146017500600313,0,audit,pending,2025-01-11,Lisa Riley,Relationship large exist travel man.,medium,no
CLM100069,0.9044013439047772,0,audit,cleared,2025-02-21,Ernest Campbell,Newspaper bit scientist last discussion act official.,low,yes
CLM100070,0.0029525104760537157,0,system,confirmed,2025-05-28,Charles Ramirez,Office modern property pattern green stop meeting police.,high,yes
CLM100071,0.48318352305444656,0,system,cleared,2024-07-24,Heather Williamson,Cold really event.,low,yes
CLM100072,0.8445143494083766,0,manual,confirmed,2024-09-01,Tyler Ramirez,Gas us teach could important direction hundred.,low,no
CLM100073,0.08131310017200466,0,audit,confirmed,2024-07-26,Jacob Berry,Discover yeah stock better.,high,yes
CLM100074,0.7962959393045287,0,audit,confirmed,2025-06-23,Henry Harris,Ten former wide well.,high,no
CLM100075,0.1324844332769739,0,system,pending,2024-10-20,Mrs. Valerie Robinson,My view fine ahead plant economy small.,low,no
CLM100076,0.7155238879477566,0,system,confirmed,2025-02-19,Monica Ross,Shoulder evening value list concern sense.,medium,yes
CLM100077,0.6075966080254742,0,system,confirmed,2025-05-29,Kyle Smith,Service paper black sense appear work how.,high,yes
CLM100078,0.6634538930018706,0,audit,cleared,2025-03-10,Brian Hampton,Lose sure quite last this agree.,high,yes
CLM100079,0.07921531348524746,0,manual,cleared,2025-04-03,John Peterson,Professor company range option.,low,no
CLM100080,0.7454782048474949,0,system,cleared,2024-11-26,Andrea Hall,Must at watch officer especially.,high,yes
CLM100081,0.6488655186238089,1,manual,confirmed,2024-10-28,Eddie Alexander,Operation place sign board.,low,no
CLM100082,0.2779627393241958,0,system,pending,2025-02-12,Heather Ramirez,Economy tell evening statement know.,medium,no
CLM100083,0.7922086837102665,0,manual,confirmed,2025-07-01,Lisa Holland,Nature on into tree prepare.,medium,no
CLM100084,0.6425015650777685,0,audit,cleared,2024-09-12,Craig Romero,Occur myself hope local.,low,no
CLM100085,0.49652288096712116,0,audit,cleared,2024-07-25,Frank Pena,Least can too while.,low,no
CLM100086,0.9516135883940549,0,manual,cleared,2025-05-13,Jason Bender,Truth bit conference or significant.,high,yes
CLM100087,0.1218220522752349,0,audit,pending,2024-11-14,Sarah Roberts,Put suggest friend your.,low,no
CLM100088,0.18216471461447448,0,audit,pending,2025-03-26,Meredith Lee,One candidate along green.,low,no
CLM100089,0.11537676881771808,0,manual,pending,2024-11-20,Jeremiah Stevenson,Forward amount quality tend.,high,no
CLM100090,0.3033196865658284,0,system,cleared,2025-03-18,Tara Mccullough,Issue among tell summer bring live final scene.,medium,yes
CLM100091,0.8390681679560724,0,system,cleared,2025-04-12,Ashley Simpson,Month according present control customer start agree.,high,no
CLM100092,0.3826149322702207,0,system,confirmed,2025-03-11,David Burke,Available let leave mention.,high,yes
CLM100093,0.4527680061691509,0,system,cleared,2025-06-20,Laura English,With born ten attack city speech choice industry.,high,no
CLM100094,0.6446581256873387,0,system,confirmed,2025-03-18,Nathan Daniels,House within happy close hold.,high,no
CLM100095,0.20241995605862417,0,manual,cleared,2024-09-21,Michael Sanchez,Feeling bag discuss politics site fire likely character.,low,no
CLM100096,0.402780328158009,0,audit,cleared,2025-07-09,Mark Mcclain,Billion plan watch feel theory trouble.,medium,yes
CLM100097,0.04345624647034729,0,audit,pending,2024-09-22,Nicholas Hodge,Visit fill experience model.,high,no
CLM100098,0.7522701501327038,0,manual,confirmed,2025-05-30,Vincent Molina,Behind about trade sit.,low,yes
CLM100099,0.2707717893061786,0,manual,cleared,2025-06-10,Gordon Mendoza,Along firm level finish strong.,low,no
CLM100100,0.6365166527480705,0,audit,confirmed,2025-05-30,Kathleen Martinez,Town machine nearly.,medium,no
CLM100101,0.7854107043810847,0,audit,pending,2025-01-17,Tammy Diaz,Science create building down first away rather science.,medium,yes
CLM100102,0.9693808678499376,0,manual,cleared,2025-03-10,Kevin Long,Often employee oil air fund energy.,high,no
CLM100103,0.18599095877173422,0,manual,confirmed,2024-08-16,Patricia West,Money building either court later.,high,no
CLM100104,0.032316056945540184,0,manual,pending,2024-11-20,Robert Townsend,Him middle guy citizen.,medium,no
CLM100105,0.44364431431413054,0,manual,pending,2025-03-01,Daniel Dixon,Event describe statement something way film.,high,no
CLM100106,0.7422137663397097,0,system,pending,2024-08-13,Vincent Reeves,Save during western man defense across.,medium,no
CLM100107,0.7896520801278452,0,system,confirmed,2024-08-31,Jason Hill,What now thus heart ever manager.,medium,yes
CLM100108,0.9347747681238273,0,audit,pending,2025-03-02,Adam Johnson,Item drug type morning by sing answer.,medium,no
CLM100109,0.38054475999157666,0,audit,cleared,2025-01-03,Brandy Castillo,Couple parent reality eye.,medium,no
CLM100110,0.1992151719369084,1,audit,confirmed,2024-08-13,Vanessa Gibson,Become can if record actually.,high,yes
CLM100111,0.3197542993189755,0,audit,confirmed,2024-07-19,David Allen,Friend middle production dog these fine.,low,no
CLM100112,0.06066993172134916,0,manual,pending,2024-09-30,Julie Rubio,Term cultural her firm series institution.,high,yes
CLM100113,0.038724899536019874,0,manual,confirmed,2025-01-31,Dr. Linda Richardson,Middle network reason short more sure.,low,yes
CLM100114,0.3717555968050158,0,manual,pending,2025-03-18,Timothy Hubbard,View financial final carry.,medium,no
CLM100115,0.8827142336268491,0,manual,confirmed,2024-10-29,Helen Stewart,Future outside lead bill.,medium,yes
CLM100116,0.8488303791341906,0,system,pending,2024-11-18,Carol Roberts,Too manage media trip would so.,low,no
CLM100117,0.9735312815044658,0,system,cleared,2025-01-18,Bradley Wood,Save the environmental firm hour new.,low,no
CLM100118,0.9104481993717075,0,system,pending,2024-08-03,Christopher Miller,His these run body art say their.,high,no
CLM100119,0.2877125932348371,0,system,confirmed,2025-06-23,Sonya Johnson,Toward audience government feeling who yet situation.,high,no
CLM100120,0.48056521835346144,0,manual,confirmed,2025-02-10,Noah Hood,Imagine course take material table.,low,yes
CLM100121,0.04295901443148353,0,system,confirmed,2025-06-27,Devin Carter,Want discuss daughter evidence public.,low,no
CLM100122,0.6453897674892264,0,system,pending,2025-07-05,Courtney Guzman,Put rock knowledge evening.,high,yes
CLM100123,0.815221472180475,0,audit,pending,2024-11-16,Steve Meyer,Fish trip happy responsibility practice perform hair.,low,yes
CLM100124,0.8516348006475984,0,audit,pending,2024-09-11,Jeffery Lopez,Choice as present such imagine general.,medium,yes
CLM100125,0.8341792975139828,0,audit,confirmed,2024-10-04,Daniel Leon,Gun always follow artist.,medium,no
CLM100126,0.5117281567160379,0,manual,cleared,2025-06-28,Michaela Williams,Case good home better.,low,no
CLM100127,0.36563919514585874,0,system,cleared,2024-12-19,Matthew Johnson,Question eye word.,high,yes
CLM100128,0.415667111590321,0,audit,confirmed,2025-04-16,Lori Ellis,Per professor family then focus.,low,yes
CLM100129,0.65025911724939,0,audit,confirmed,2025-04-05,Robert Mosley,Development catch cover rate including weight.,low,no
CLM100130,0.29754596941116396,0,audit,cleared,2025-04-05,Christine Werner,In seven would base.,medium,no
CLM100131,0.20235152781728027,0,audit,cleared,2025-02-22,Luke Mccoy,Marriage grow term security south.,high,no
CLM100132,0.15692128586561938,0,system,pending,2024-10-06,Austin Williams,Partner sit fund training avoid goal.,medium,yes
CLM100133,0.13586061009039396,0,audit,confirmed,2025-01-06,Amy Rhodes,Performance source article center.,medium,yes
CLM100134,0.47929157043808235,0,system,cleared,2025-01-13,Jerome Baker,Why through low environment.,medium,no
CLM100135,0.15617147444104817,0,manual,pending,2024-08-08,Debra Gordon DVM,Garden start memory within way.,medium,yes
CLM100136,0.8509728306779966,0,manual,pending,2024-08-07,Meghan Miller,Leg word much sometimes human offer hand.,medium,yes
CLM100137,0.17989870533204877,0,system,confirmed,2025-02-24,Caitlin Taylor,Pick beyond quite beyond somebody join.,low,no
CLM100138,0.2629689944591894,0,system,pending,2024-10-06,Scott Brennan,Wind next author camera free ahead.,medium,no
CLM100139,0.7073969702503996,0,audit,cleared,2025-01-20,Marcus Taylor,Worker quite hard police write.,high,yes
CLM100140,0.29601052796698357,0,system,pending,2024-09-25,Diane Bryant,Clear court nothing use.,high,yes
CLM100141,0.9975192582819845,0,audit,pending,2025-06-17,Nicole Robinson,Everybody future three.,medium,no
CLM100142,0.7529124085969877,0,audit,pending,2025-05-01,Elizabeth Friedman,Thing us but ready tax share no.,medium,no
CLM100143,0.9249396502228353,0,system,pending,2024-09-30,Nicole Anderson,Year reduce suffer which.,high,yes
CLM100144,0.07590479884110757,1,system,confirmed,2025-06-07,Amy Carlson,Condition actually better only inside.,high,yes
CLM100145,0.6190052552964704,0,system,pending,2025-03-26,Jonathan Acosta,Smile point purpose test.,low,yes
CLM100146,0.08653475058824767,0,audit,pending,2024-10-08,Crystal Carter,Act total better technology western sing wind.,medium,yes
CLM100147,0.35781164213402195,0,system,confirmed,2024-10-21,Taylor Diaz,Knowledge scene person beautiful cold.,high,no
CLM100148,0.36620933986696713,0,audit,pending,2025-03-21,Megan Sanchez,Certainly time sell list wife.,low,no
CLM100149,0.019872249421410082,0,system,pending,2025-04-05,Jeffrey Pratt,Nature imagine station scene behavior.,medium,yes
CLM100150,0.8116597376866185,0,system,confirmed,2024-08-23,Amy Edwards,Cut federal performance you four decide place.,medium,no
CLM100151,0.5452946338389654,0,manual,cleared,2024-12-01,Mrs. Megan Williams,Expect rock sense city gas truth.,low,no
CLM100152,0.8141529151789857,0,system,confirmed,2025-03-07,Adam Chang,Also computer get.,medium,no
CLM100153,0.08940442114092129,0,audit,cleared,2024-11-17,Dawn Hoover,Pick where spend.,medium,yes
CLM100154,0.8022547798873044,0,audit,confirmed,2025-04-10,Michelle Booth,Water call watch gun specific.,medium,yes
CLM100155,0.2897200312259247,0,system,pending,2024-07-26,Donald Williams,Others early throw method through director.,medium,yes
CLM100156,0.05429262288274328,0,audit,confirmed,2025-04-10,Christopher Munoz,Area pretty stock Mr field whatever serve.,high,no
CLM100157,0.34438626959183993,0,manual,pending,2025-05-31,Karen Schaefer,Truth whom high million conference within.,high,yes
CLM100158,0.42681064200439833,0,system,cleared,2024-12-22,Lisa Torres,Million young politics know garden.,medium,yes
CLM100159,0.028292994034074148,0,manual,cleared,2025-01-24,Dr. Brandy Rowe,Both behavior consider month member sign.,medium,no
CLM100160,0.6470039175165465,0,system,pending,2025-05-05,Steven Jensen,Subject center evidence responsibility different.,medium,no
CLM100161,0.4812531459912719,0,system,pending,2025-05-08,Erin Lyons,Republican help kitchen wide job several international.,low,no
CLM100162,0.7728941721945927,0,audit,confirmed,2025-02-01,Susan Daniels,Large already eye similar sure through represent democratic.,medium,no
CLM100163,0.6047119668627218,0,audit,confirmed,2025-06-11,Victor Frye,These training wish name natural.,medium,no
CLM100164,0.5417270384835995,0,audit,pending,2024-08-03,Brandon Martin,Huge single nature can when create.,high,yes
CLM100165,0.09904083711561362,0,manual,confirmed,2024-09-11,April Guerra,Sell between officer human everybody measure product.,medium,yes
CLM100166,0.5287009305494575,0,system,cleared,2025-06-15,Adam Jordan,Factor during player according free that.,high,no
CLM100167,0.680160661894681,0,manual,cleared,2025-01-17,Nicole Collier,Off position agreement good around camera again.,medium,no
CLM100168,0.60680008684574,0,audit,cleared,2025-03-26,Ronald Sanford,Newspaper throughout upon option enough no adult.,low,yes
CLM100169,0.5014105412397198,0,manual,pending,2025-03-31,Kelsey Morris,About major stage develop.,medium,no
CLM100170,0.854684584158813,0,system,cleared,2024-10-23,Daniel Owens,Should meet though miss.,medium,no
CLM100171,0.2522501267158068,0,audit,cleared,2024-12-31,Evan Hart,Door moment director cost these energy.,high,yes
CLM100172,0.7644238690468923,0,system,cleared,2024-11-09,Angela Williams,Head so stuff spring old job practice.,medium,no
CLM100173,0.8014919671089739,0,audit,cleared,2025-01-23,Mrs. Ashley Stein,Threat throughout book seat budget.,medium,yes
CLM100174,0.9960194293417641,0,system,cleared,2025-04-19,Christina Andrade MD,Other pattern believe very international agreement tax.,low,yes
CLM100175,0.32199941256202014,1,audit,confirmed,2025-03-10,Kaitlin Davila,Opportunity society safe home reality young.,medium,no
CLM100176,0.3791881547946745,0,system,cleared,2025-05-21,Mark White,Be night behavior could put their red.,medium,no
CLM100177,0.7169393779559343,0,system,pending,2024-08-09,Nancy Suarez,Team include pull nature myself organization.,medium,yes
CLM100178,0.4259052342446198,0,audit,confirmed,2024-10-03,Daniel Cobb,Organization fall lot send third.,high,no
CLM100179,0.13083928877142448,0,manual,pending,2025-06-28,James Jimenez,Father trouble movie machine matter laugh maintain.,medium,no
CLM100180,0.7932574355937628,0,system,cleared,2025-01-18,Danielle Sullivan,How fear newspaper yet discover next.,low,no
CLM100181,0.3470923015726871,1,manual,pending,2024-10-22,Tammy Brown,Policy politics social discover poor.,high,yes
CLM100182,0.8806518925502267,0,system,confirmed,2024-10-09,William Thompson,Arm here must marriage option.,high,no
CLM100183,0.10639708600320474,0,audit,pending,2025-05-13,Rachel Johnston,Candidate dinner leader pull.,high,no
CLM100184,0.3278721215937549,0,manual,cleared,2024-08-31,Brandon Osborn,Science learn fill without analysis.,medium,no
CLM100185,0.049631005621172286,0,manual,cleared,2025-06-19,Krystal Charles DVM,Baby lot explain four maybe above most.,high,no
CLM100186,0.8061814474126373,0,system,cleared,2024-07-28,John Lopez,Establish high south help wind money deal establish.,medium,no
CLM100187,0.8231676192233349,0,audit,pending,2025-01-16,Joshua Green,Usually interest direction front by action.,low,yes
CLM100188,0.9449486677469368,0,system,cleared,2024-11-08,Thomas Stark,Month lead yeah can maintain.,high,yes
CLM100189,0.3169066344391568,0,system,cleared,2024-08-02,Laura Rose,Impact write draw door partner full just.,medium,no
CLM100190,0.34814710070175614,0,system,pending,2024-12-19,Amy Gill,Ago tree sound tree series toward wide.,high,yes
CLM100191,0.13613030322145625,0,manual,cleared,2025-02-16,Jerry Montes,Role onto forget air remain activity.,high,yes
CLM100192,0.09236066112214614,0,audit,confirmed,2025-03-10,Beverly Roach,Program less page time feeling according once lose.,medium,yes
CLM100193,0.5544096101685093,1,system,pending,2025-02-03,David Chen,Keep it benefit range reveal fight certainly.,low,yes
CLM100194,0.40087566594198565,0,system,confirmed,2025-07-15,Stacey Gonzalez,Red scene throughout.,medium,no
CLM100195,0.7810027807905141,0,system,cleared,2024-09-10,Lori Howard,Theory night product reason wear.,medium,no
CLM100196,0.5902280992443223,0,system,cleared,2025-06-24,Shane Li,Material continue score control life friend.,medium,no
CLM100197,0.893673967204085,0,audit,confirmed,2024-12-24,Ashley Haynes,Receive last the piece place hour describe.,medium,yes
CLM100198,0.7269945590354402,0,manual,pending,2024-10-06,Amanda Khan,Change sound can shake front friend door.,medium,yes
CLM100199,0.6404392254880451,0,manual,pending,2025-06-29,Kathryn Johnson,Born agency assume.,high,no
CLM100200,0.15875025338041426,0,audit,pending,2025-06-03,Christina Blake,Attack accept similar east specific practice.,medium,yes
CLM100201,0.18879793137567047,0,manual,cleared,2025-05-10,Mariah Walker,Continue source sing stuff field wear security.,high,yes
CLM100202,0.12058737377893392,0,system,pending,2024-11-19,Eric Edwards,Political very seek.,medium,yes
CLM100203,0.9518552296078836,0,audit,cleared,2025-05-01,Ryan Wood,Require whose team teacher.,low,no
CLM100204,0.1230406832560268,0,system,cleared,2025-06-11,Tiffany Harris,Keep choose statement Democrat north.,high,yes
CLM100205,0.21478763706519144,1,manual,confirmed,2025-05-01,Alicia Wilson,Total million already once possible.,high,no
CLM100206,0.4485103243532993,0,system,confirmed,2024-12-02,Ray Garcia,It one evening any station training character.,low,no
CLM100207,0.18151988379762696,0,audit,cleared,2024-10-06,Mary Williams,Citizen race size rest support.,medium,no
CLM100208,0.7994246920426248,0,system,pending,2025-04-23,Jesse Davis,Finish put western factor down culture.,low,no
CLM100209,0.9029625124975108,0,audit,confirmed,2024-10-03,Paul Stewart,Bill yeah for successful natural.,low,no
CLM100210,0.3885454102278756,0,system,confirmed,2024-08-13,Christina Taylor,Child happy no statement.,low,no
CLM100211,0.5083672835624916,0,system,cleared,2025-02-03,David Henderson,Allow mouth born why.,medium,yes
CLM100212,0.7921339542120345,0,system,pending,2024-09-20,Richard Smith,Power person work event.,medium,yes
CLM100213,0.5083271576393337,0,audit,confirmed,2025-05-14,Desiree Robertson,Worry before before hundred social not.,high,no
CLM100214,0.3116398203156391,0,system,confirmed,2024-11-06,Kiara Mercer,Maybe back rock product everybody expect.,high,no
CLM100215,0.7504617831414939,0,audit,confirmed,2025-06-08,Ricky Nelson,Story ago what often too reduce my environmental.,medium,yes
CLM100216,0.15219370744740435,0,system,cleared,2025-02-05,Brianna Rodriguez,Late design interesting pattern may any say.,medium,no
CLM100217,0.8459336483369478,0,system,cleared,2025-03-26,Elijah Garcia,Meet market investment option miss.,high,yes
CLM100218,0.39055389238043725,0,audit,pending,2024-08-30,Elizabeth Knapp,Trial mean reveal from story really example past.,low,no
CLM100219,0.04416491277578061,0,audit,cleared,2024-08-02,Jeremy Rhodes,None military let sound detail strong different.,low,no
CLM100220,0.4741150356611479,0,audit,cleared,2025-02-08,Joshua Fuller,Back soldier social.,low,no
CLM100221,0.6713456012699528,0,system,confirmed,2024-12-09,Andrea Garcia,Condition town after rather would for.,medium,yes
CLM100222,0.056142948359155675,0,manual,confirmed,2025-01-16,Natalie Hicks,South the business long Mrs activity father.,high,no
CLM100223,0.6514395435449358,0,audit,pending,2025-01-17,Theresa Adams,Against spend skill challenge.,low,yes
CLM100224,0.8502477780410306,0,manual,pending,2025-07-15,Connor Lee,Toward situation house.,high,no
CLM100225,0.9457895446051394,0,system,confirmed,2024-11-02,Melissa Maldonado,Garden think program general service course.,medium,no
CLM100226,0.34127987539940197,0,audit,cleared,2025-05-16,Travis Lopez,Weight soon foot.,medium,no
CLM100227,0.3555790221517452,0,audit,pending,2025-04-23,Keith Porter,Practice maintain save green dog.,low,yes
CLM100228,0.39935928284666744,0,system,cleared,2024-09-24,William Velazquez,Relate assume be.,low,yes
CLM100229,0.8445143387909675,0,manual,confirmed,2025-04-03,Katie Bean,Surface former then many name.,medium,yes
CLM100230,0.9701724841796244,0,audit,pending,2024-11-16,Amy Oconnor,Recognize most identify require a imagine bank.,high,no
CLM100231,0.2009477026653922,0,manual,confirmed,2024-09-11,Steven Higgins,Meeting forget scientist offer above.,medium,no
CLM100232,0.6243678611793969,0,manual,cleared,2025-04-08,Kenneth Perez,Available office party season effect positive organization.,low,no
CLM100233,0.8800148480334734,0,manual,confirmed,2024-10-28,Tamara Willis,Radio help serve ok one.,low,no
CLM100234,0.7136951278701246,0,manual,confirmed,2025-05-19,James Edwards,Of computer must try feel role structure.,medium,yes
CLM100235,0.05460839039112475,0,audit,confirmed,2025-04-12,Dr. Kevin Cochran,Apply speak action author almost interview politics.,low,yes
CLM100236,0.07636050022927787,0,audit,cleared,2024-08-24,Lisa Harvey,Where yeah ago shoulder nation.,high,no
CLM100237,0.26482712523941376,0,manual,cleared,2024-08-27,Logan Mckenzie,Good growth involve action value behind property.,medium,no
CLM100238,0.5097175561452836,0,manual,cleared,2025-06-13,Nicholas Johnson,Yet director boy interesting ball party every.,low,yes
CLM100239,0.5824432795645516,0,manual,pending,2024-11-23,Robin Johnson,Air reach forward feel hot bank enter.,high,no
CLM100240,0.31820547668377863,0,audit,cleared,2025-07-03,Michael Barber,Computer able design sort chance.,high,no
CLM100241,0.10170140693693586,0,manual,confirmed,2024-09-08,Dr. Roger Mcdonald PhD,She huge south news green.,low,no
CLM100242,0.056292366063735555,1,audit,cleared,2025-02-20,Logan Patterson,Although team body likely reveal red.,low,yes
CLM100243,0.0685514156385767,0,manual,confirmed,2024-10-05,Amanda Tran,Claim edge sell ability reflect.,medium,no
CLM100244,0.7671734194809051,0,manual,cleared,2024-10-10,Robert Moore,Him stand defense.,low,yes
CLM100245,0.29728246840809514,0,manual,cleared,2025-05-06,Michael Ramos,Pull our day late who early anything.,low,no
CLM100246,0.9797461873500308,0,system,confirmed,2024-12-04,Sarah Olson,World church herself strategy hair yet occur within.,medium,no
CLM100247,0.8853669341508414,0,system,cleared,2025-03-12,Pamela Bowen,Effort fire lead season.,low,no
CLM100248,0.9999869395808388,0,manual,pending,2024-11-21,John Jackson,Fish rich language young win.,low,no
