agent_id,name,region,performance_score,tenure_years,active,email,phone,supervisor,branch
AGT10055,Donna Eaton,West Micheal,,12,yes,greenjeremy@example.org,(271)310-1146x324,Luis Marquez,East Tonya
AGT10056,Taylor Floyd,Chasemouth,65.8699299532557,2,no,favila@example.org,633.301.9855x820,Daniel Jenkins,West Jay
AGT10057,Christopher Blevins,Port Roger,64.09947319991427,6,no,bryangraham@example.org,674.239.7233,Laura Robertson,Ruizborough
AGT10058,Connie Schwartz,New Julieville,74.64813692477564,6,yes,melissaharris@example.net,001-922-668-3500x26247,Timothy Williams,Kimberlyburgh
AGT10059,Patrick Romero,Bradleyview,81.86048781313316,1,yes,simmonsshannon@example.net,001-891-266-8592,Jeremy Kelly,New Brett
AGT10060,Joe Smith,Port Pamelaport,51.49147470437103,19,yes,williamward@example.com,722-515-8934x90078,Heidi Dennis,South Colleen
AGT10061,Wesley Taylor,West Justin,68.79169398909896,14,no,alexa21@example.net,(289)348-4617x257,Joan Crawford,Port Ryanville
AGT10062,William Brown,Port Cassandra,79.72276624840879,6,no,ugarcia@example.net,8767396873,Stephanie Shea,Raymondhaven
AGT10063,Jade Jones,Colleenstad,87.6775574248087,6,no,smithjames@example.com,001-533-325-8197,Julie Hoffman,Pageton
AGT10064,Barbara Martinez,Johnsonfurt,88.36238049863199,8,yes,melissahunt@example.org,+1-559-854-9786x7368,Megan Vaughn,Bishopfort
AGT10065,David Raymond,South Shaneville,71.82814186161747,7,no,christopherstrickland@example.org,495-966-4772,Kelly Fuentes,Hamiltonshire
AGT10066,Shawn Pacheco,Rachelport,83.12000376868531,12,no,nkim@example.net,001-836-471-7428x274,Tamara Mitchell,Markmouth
AGT10067,Julia Stone,Port Thomas,74.22839286715967,3,no,melanie03@example.net,728-227-8005,Thomas Quinn,Dennisport
AGT10068,James Hernandez,Jennahaven,56.11656313691878,9,yes,tatescott@example.org,670.206.0054,Michael Ward,Morrisonhaven
AGT10069,Ashlee Thomas DDS,South Kelsey,65.38269462720729,19,no,sawyerkenneth@example.net,(775)501-7775x479,Ryan Johnson,North Dannyfort
AGT10070,Jose Johnson,Lake Susan,79.3494019024222,18,no,phillipstaylor@example.org,217-606-7568x5073,Samuel Gill,North Sarah
AGT10071,Edward Rogers,Stoutview,77.80452055735995,9,no,jasonkim@example.org,(407)407-9076,Joshua Joseph,Amyside
AGT10072,Mr. John Stephens DDS,West Katrinaview,63.62095853982713,19,yes,jward@example.org,532-263-3298,Kaitlyn Moore,Codymouth
AGT10073,Anita White,Hughesbury,86.72916283316985,3,no,jennyalvarado@example.org,001-739-595-7771,Justin Foley,Campbellbury
AGT10074,Caitlin Page,West Johnathan,84.32649966746843,10,no,scottmorales@example.org,(343)778-6226,Jennifer Williams,West Kevin
AGT10075,Mr. Justin Jenkins,East Brianafurt,77.29137919551677,12,no,ryanwarner@example.com,693-605-5284x4176,Clifford Howard,Martinezchester
AGT10076,Elizabeth Hudson,Martinview,68.75603315212784,18,yes,eriggs@example.net,329.464.1276,Nicholas Mcintyre,Solomonton
AGT10077,Travis Reyes,Kellyton,76.60968119303016,5,no,fjimenez@example.com,4567886418,Dawn Le,Ramirezport
AGT10078,Audrey Dyer,New Michael,81.44076177882852,4,no,swansonemily@example.org,8977406931,Melissa Ramirez,East Ashleytown
AGT10079,Jason Navarro,Lake Tristanshire,,1,yes,alanaustin@example.com,770-746-7378,Dorothy Douglas,Elizabethfort
AGT10080,Sara Lucas,Reeveshaven,86.40707531170293,5,yes,htran@example.net,(444)764-2171x15930,Ana Gomez,South Edward
AGT10081,Mark Holt,Port Troy,85.14050952031926,4,no,obullock@example.com,+1-716-596-4716x462,Michael Bradley,Mitchellberg
AGT10082,Lisa Hughes,West Samuel,87.86084275285623,3,no,bradleyvalencia@example.net,605-864-1548,Michael Herrera,Colemanport
AGT10083,Kelsey Clark,Lake Heidiberg,84.60373948006352,11,yes,kanderson@example.com,457-702-7329x9852,Karen Wise,Jameschester
AGT10084,Hannah Benitez,South Johnny,86.49043595923457,9,no,margaret70@example.com,212-660-7333,Michael Stewart,Scottview
AGT10085,Cindy Todd,Brownmouth,57.30297892048013,19,no,dawn80@example.net,001-305-687-7817x340,Amy White,Port Kevin
AGT10086,Robert Riggs,Jordanborough,61.15086638979461,6,yes,jeremytorres@example.org,242-488-9429x66499,Cody Miranda,Harryville
AGT10087,Steven Shepherd,Lawrenceville,66.07523363127456,14,yes,bmartin@example.com,641-661-4643x481,Anthony Newton,Lake Dennismouth
AGT10088,Bryan Schroeder,Port Matthewberg,71.05693865321497,17,no,gsalinas@example.net,001-667-681-3384x55002,Anna Arnold,Cooperberg
AGT10089,Peter Jones,West Christopher,72.79329020077384,7,no,daniel18@example.org,441-653-1485x18484,Kyle Fuentes,Moorebury
AGT10090,Theresa Miller,West Austin,85.03599901142987,19,no,evansjohn@example.org,4498690657,Michael Wheeler,Toddville
AGT10091,Sarah Evans,North Sherri,89.88994374895624,15,no,joe61@example.net,+1-842-234-0032x2549,Laurie Wilson,Christinefurt
AGT10092,Linda Bell,North Carolyn,62.62424032206197,6,yes,jenniferdouglas@example.net,429-782-7974,James Hernandez,South Kennethtown
AGT10093,Cory Atkins,East Laurietown,78.49429700259226,19,yes,pricemichelle@example.org,(207)984-5781x9810,Anthony Ross,West Deborah
AGT10094,Jordan Ellison,Lake Victorialand,69.71364705987469,1,yes,jennifer94@example.com,924-807-7162x53630,Frank Hill,Kimberlyshire
AGT10095,Jonathan Robinson,Riosport,94.77544834616522,2,yes,nortega@example.com,775.239.7343,Stacy Chen,Michaelville
AGT10096,Lisa Wright,Clarkton,78.0705266535417,3,no,johnwright@example.com,406-948-3518x372,Angela Johnson,North Terrence
AGT10097,Mike Gonzalez,Alexfurt,74.5416422075894,9,yes,jamie89@example.org,(207)996-4260x991,Craig Russell,Wumouth
AGT10098,Teresa Ewing,East Maryside,68.53874577470975,12,no,patrick32@example.org,+1-479-673-5169x38239,Dennis Norris,Moodyborough
AGT10099,Wendy Smith,Kellyhaven,90.5738312718993,8,no,cody40@example.com,(678)865-0221x82578,Amy Rice,Nealland
AGT10100,Heather Sims,South Blake,89.92200027131099,17,yes,cmorton@example.net,001-304-476-8458x706,Colin Franklin,Wallfort
AGT10101,Mary Barnes,Williamfort,82.02636252225102,16,no,jonessuzanne@example.com,+1-891-364-2091x86333,Robert Simpson PhD,Tamaraville
AGT10102,Kyle Sutton,Johnborough,,2,no,smithsusan@example.net,(883)558-3406,Robin Cobb,Lake Brianmouth
AGT10103,Robert Russell,Andreafurt,76.15745933080781,11,no,rodrigueztimothy@example.org,3413299746,Amanda Tate,Ramirezburgh
AGT10104,Dennis White,Port Lindsay,83.89902851015928,5,yes,mark95@example.com,675-527-0524x5039,Benjamin Rodriguez,Port Christopher
AGT10105,Timothy Roy,Wrightfort,79.55129314661365,16,yes,samanthacampbell@example.com,785-503-9309x8335,Amanda Malone,Johnsonfurt
AGT10106,Mr. Marvin Berger PhD,Evansland,57.00887761185956,7,yes,angela05@example.com,202.336.0829x055,Gary Jackson,Goodmanport
AGT10107,Edwin Willis,Robinberg,80.41671059574139,4,yes,nmartinez@example.com,001-518-346-0081x22000,Jamie Brown,Stephaniemouth
AGT10108,Mrs. Dawn Gardner,Jamesshire,84.90524502298787,4,yes,tracichavez@example.com,+1-449-700-3705x382,Charles Clements,Scottberg
AGT10109,Aimee Pratt,North Danielshire,71.23686645371085,14,yes,brandon25@example.com,+1-709-386-1213x107,Amy Bryant,Freemanborough
AGT10110,Randy Orozco,Tyronehaven,,19,yes,andrew26@example.com,+1-394-324-7098x9862,Jenna Powers,East Jamesfurt
AGT10111,Scott Martin,New Joseph,75.84052074614979,8,yes,unelson@example.net,(507)451-8416x06098,Alan Alexander,Robersonchester
AGT10112,Robert Wright,Alexandermouth,76.06074813057377,9,no,ydawson@example.com,(759)271-4352,Katelyn Mills,South Brianland
AGT10113,Joseph Goodwin,Port Evanbury,67.83862860746532,14,yes,flowersvictor@example.com,246.321.2819x3953,Kelly Johnson,Angieside
AGT10114,Corey Kemp,Lake Steventon,73.59646133887911,7,yes,barrettbrandon@example.org,(857)651-4824x79987,Alexandra Jenkins,Lake John
AGT10115,Melissa Hale,Kinghaven,68.15159691968987,17,yes,greenshannon@example.net,629.980.4185,Ryan Morgan,Matthewside
AGT10116,Elizabeth Taylor,West Timothystad,75.72197517901489,15,no,misty51@example.org,(767)384-3083,Laura Gilbert,Floresmouth
AGT10117,Adrienne Fisher,Lake Barbara,,12,no,kburton@example.org,414.674.2677,Eric Reeves,East Danielhaven
AGT10118,Wendy Garza,Michaelville,67.97608571678876,16,no,catherineevans@example.net,459.346.6239x6806,Jeffrey Thompson,Loganland
AGT10119,Stephanie Martinez,Port Morgan,66.7282079430343,18,no,morrowlisa@example.com,391.884.4490,Victoria Arias,Jeffreyport
AGT10120,John King,East Veronica,67.58136787922278,16,no,beardcaroline@example.org,(213)651-6736x54722,Mark White,North Danielberg
AGT10121,Jose Mason,Jasonport,83.69849995942783,3,yes,reneeleblanc@example.com,644-978-5798,Michael Zimmerman,South Chad
AGT10122,Stacy Braun,Arnoldside,81.66241340851654,3,yes,racheltran@example.org,(970)779-4182x6969,Amanda Thomas,Hintonfurt
AGT10123,Marc Kelley,Hammondside,79.69577721631556,13,no,lanceburke@example.com,204-698-7490x866,Breanna Bruce,Thomasburgh
AGT10124,Javier Erickson,Rodriguezchester,,7,no,robertchase@example.org,+1-255-932-8249x822,Monica Roberts,Ramosside
AGT10125,Joshua Browning,Susanberg,65.56233991147133,9,no,gcooper@example.org,529-732-7309,Olivia Patel,East Hollyville
AGT10126,Kyle Barker,Port Mary,60.269376486883665,11,no,hicksjennifer@example.net,+1-619-400-4218x88275,Rebekah Whitehead,Lake Amber
AGT10127,Ricky Hood,Lake Austin,73.06976539911355,14,yes,matthew93@example.org,+1-329-303-0198x6346,Terri Brown,New Brandon
AGT10128,Vanessa Allen,Dawnborough,77.69552115746707,6,yes,fjohnson@example.net,304.835.0489,Kristin Flores,New Joshuaburgh
AGT10129,Kayla Rush MD,Millershire,67.4887349269126,19,no,johnsonerica@example.net,001-965-926-8316x96506,Sabrina Rodriguez,Claytonburgh
AGT10130,Jaclyn Campbell,North Kimberly,74.23534042689346,4,no,taylorstephanie@example.com,+1-269-931-7550x88985,Marc Thomas,Wendyville
AGT10131,Dr. Maria Lee MD,North Meaganfort,94.52709955281793,17,no,michael87@example.com,001-654-664-6518,Amanda Berry,Brandonland
AGT10132,Diana Burnett,North Calvinville,68.68206947498977,3,no,rclark@example.net,+1-341-796-9027,Brian Hahn,Vangmouth
AGT10133,Travis Jones,Port Morganstad,69.91966804999156,13,no,sdavis@example.net,348.435.7814x28681,Shannon Boyd,Rickyview
AGT10134,David Gutierrez,Lopezside,76.56096080399958,12,yes,bmason@example.org,490.651.7383x0038,Hannah Jones,Port Jacqueline
AGT10135,Kenneth Hoffman,Valeriefurt,62.46438345955761,19,no,michelle35@example.com,263.273.4649,Joseph Todd,Zacharyport
AGT10136,Terry Maddox,Lake Teresa,75.91314850180053,2,no,collinsmatthew@example.net,428-925-1338x2030,Savannah Khan,New Melaniestad
AGT10137,William Walker,New Hectormouth,65.43907496726754,17,no,paul01@example.com,461.326.7973x0491,Amanda Herman,South Dianaborough
AGT10138,Robert Sanders,Emilychester,67.36792549081305,18,no,fsandoval@example.net,+1-379-625-2725x2002,Candace Holmes,New Javierchester
AGT10139,Jessica Carter,Lake Tonyton,69.14517585919106,14,no,oroman@example.net,(890)451-9181x821,Steven Anderson,Brownton
AGT10140,Daisy Sanders,South Robert,91.75164698459375,6,yes,cynthia74@example.com,930-612-2214,Elizabeth Cruz,Thompsonville
AGT10141,Gina Clay,Rioshaven,62.78535273293883,9,no,sharon75@example.com,775.637.0922,Kenneth Mack,North Michaelshire
AGT10142,Jamie Hernandez,Gallaghermouth,78.07844695895554,7,yes,dominic41@example.org,379.778.9589x5606,Sally Hernandez,Jasonburgh
AGT10143,Amy Mendoza DDS,New Jeffreyburgh,55.08708409347729,17,no,hooveralexis@example.org,(322)889-5330x85759,Kristi Orozco,North Christine
AGT10144,Ruth Davis,Feliciamouth,60.716132862637835,8,yes,cameroncooke@example.org,+1-820-638-4379x827,Sharon Solis,Lindaside
AGT10145,James Anderson,South Jason,91.46191514966671,9,yes,perezmichael@example.net,920.413.3169,Brandi Dickerson,Hamiltonbury
AGT10146,Jackson Perry,Patricktown,95.80073386520091,10,yes,alvaradoscott@example.net,371.343.9813,Brenda Pope,North Amyton
AGT10147,Christina Gregory,Russellton,67.18090581175886,9,yes,zfreeman@example.org,708.416.2921,Carla Collins,Johnstonberg
AGT10148,Robert Harrison,East Michelle,65.56964606511087,13,no,arthur78@example.com,001-617-897-4797x90070,David Johnson,Fredberg
AGT10149,Joseph Green,South Tonyshire,77.30799793128445,4,no,scott89@example.com,(353)416-1959,Annette Swanson,East Amychester
AGT10150,Nicole Ruiz,North Nicholas,100.0,9,no,millerlaura@example.net,557-444-8322,Erik Evans,Andrewhaven
AGT10151,William Davis,East Haleyfort,76.26076853302388,10,no,edwardsilva@example.com,6195406853,Kurt Sanchez,Michaelside
AGT10152,Andrea Daniel,Lake Ashley,67.93121302858943,12,yes,deanna99@example.com,001-889-733-5716x1099,Kristin Mathis,Smithport
AGT10153,Charles Stevens,Johnsonmouth,61.96592563444341,18,no,evanstravis@example.org,(870)688-1547,Allison Fitzgerald,Nguyenburgh
AGT10154,Emily Williams,Lake Toddchester,74.53569906540622,18,yes,gilberthoward@example.org,2674202010,Madeline Smith,New Lauraborough
AGT10155,Julie Tucker,West Tiffanyshire,67.86786090556458,13,yes,kennethhuff@example.com,779.448.6096x989,Bernard Scott,East Dianaton
AGT10156,Rebecca Davis,Singhburgh,78.89184746831545,15,yes,obarton@example.net,001-877-407-3543x309,Daniel Dunn,West Amyton
AGT10157,Daniel Mckay,New Kelly,94.91450511172403,4,yes,daniel97@example.org,519-455-7158x659,Michael Anderson,Christopherfurt
AGT10158,Anthony Anderson,Warnerhaven,73.4235612397227,16,yes,penny72@example.net,+1-495-917-0555x7502,Frank Jackson,Garyside
AGT10159,Carly Martinez,Andreatown,58.45125415858172,6,yes,qlawson@example.com,470-762-0144,Mrs. Melissa Martinez,South Julie
AGT10160,Isaac Cunningham,Russellshire,68.00270505762013,15,yes,allisonhanna@example.com,495-203-2854x168,Dr. Ronald Rivera,South Patrickfort
AGT10161,Michael Leonard,Reneeland,63.65152742395272,3,yes,arthur46@example.net,488.573.2048x94716,Michelle Holder,Port Susanview
AGT10162,Darrell Scott,Campbellfurt,66.92034385876165,4,no,amanda15@example.com,(952)600-5772x850,Vickie Hansen,South Cathybury
AGT10163,Samuel Stuart,Brittneyville,64.5698943209599,10,yes,samanthakerr@example.net,774-371-6626x209,Jonathan Craig,East Linda
AGT10164,Amanda Hartman,North Samanthafurt,81.6133239392152,4,yes,jamesgarcia@example.com,936.664.5918x613,Kevin Garza,Rileyfort
AGT10165,Blake Nguyen,South Williamton,78.79442669440074,5,yes,owolfe@example.net,+1-488-769-8228x70603,John Howard,East Donaldfort
AGT10166,Theresa Bonilla,South Michaelburgh,70.2115128951034,12,no,vmitchell@example.org,773.397.6520x9838,Laura Velazquez,Petermouth
AGT10167,Jason Roberts,Halltown,67.60539839688698,12,no,suttonashley@example.com,001-967-597-3751x227,Leslie Gutierrez MD,Arnoldtown
AGT10168,Andrew Fletcher,New Janetshire,73.80264888844627,17,no,carlanderson@example.net,+1-690-638-6590,Taylor Martinez,North Tanya
AGT10169,Jordan Cunningham,Baileybury,70.29950410557917,5,no,hamiltonjessica@example.com,3756682033,Charles Abbott,Harrisfort
AGT10170,Curtis Murphy,New Gregory,71.32933768939512,7,no,rmyers@example.org,(838)494-7955,Jose Livingston,Hortontown
AGT10171,Chelsea Clark,South Steven,91.77306302902036,3,yes,cameroncharles@example.com,541-814-1683,Samantha Richardson,Michaelfort
AGT10172,Cheryl Bentley,East Davidfort,86.92170925482985,19,no,casey95@example.com,+1-856-454-3730x57417,Christopher Garza,Russellberg
AGT10173,Amy Noble,Lake Lawrence,52.96226030083006,11,yes,kathy46@example.org,712.326.3160,Patrick Smith,West Jamesfort
AGT10174,Emily Edwards,East Tiffanyville,94.53828621941692,3,no,candice47@example.net,956.655.4948x0364,Andre Holland,South Rickyhaven
AGT10175,Ashley Ford,Ashleyport,67.31663935830387,19,no,zhayes@example.net,723-347-7343,Rebecca Clay,Charleshaven
AGT10176,Erin Perkins,Valdezport,70.9832525317043,14,yes,kyle93@example.com,487-258-9193x819,Cole Stevenson,Bryantville
AGT10177,Tina Harris,West Stevenmouth,66.58249220928458,2,yes,toddbell@example.net,001-292-817-4639x075,Laura Turner,West Johnny
AGT10178,Colleen Ibarra,Potterhaven,,11,yes,susanzimmerman@example.net,334.927.1731x844,Mr. Richard Porter,Port Julia
AGT10179,Karen May,Port Emmaview,69.36801936471558,8,yes,obarton@example.net,(592)522-7811,Jennifer Gonzales,Lake Maryside
AGT10180,Vanessa Howard,South Vincenttown,66.12271929391235,7,no,qhuffman@example.com,471-852-6005,Keith Rios,Nelsonfort
AGT10181,Brenda Martinez,Lake Alyssaside,66.56620639754031,15,yes,watsonjennifer@example.net,425-749-1985x79449,Jenna Larsen,Port Christopher
AGT10182,Daniel Rogers,North Ashley,83.74120932118565,3,no,oalvarado@example.org,+1-478-762-4276,Michelle James,Port Jacob
AGT10183,Lisa Martin,West Nicoleburgh,83.84225910329286,18,yes,areyes@example.com,511.883.9088,Katherine Duarte,Lake Courtney
AGT10184,Robert Meyer,Yoderbury,75.41094893222176,15,yes,aliceatkinson@example.net,611-524-1929,Vanessa Phillips,Alejandraland
AGT10185,Mrs. Kaylee Jones,Ginaberg,62.51715677830437,4,no,haileyburton@example.net,001-562-969-2766x8356,Jennifer Stevens,Andrewsberg
AGT10186,Elizabeth Shepherd,West Garrett,59.31954909650758,4,no,graygeorge@example.org,+1-639-236-9235x8073,Sharon Perry,Lake Danielle
AGT10187,Natasha Nelson,Lake Timothyside,73.03822095121909,6,no,kristinajohnson@example.com,6418307217,Chloe Williams,Pinedastad
AGT10188,Jessica Fuentes DVM,Port Janet,78.65826463291265,19,yes,josephlewis@example.com,375-201-7380,David Lynch,Summersfort
AGT10189,Trevor Rodriguez,South Samanthaberg,68.16353322755465,18,yes,jonestiffany@example.net,(516)575-7672,Robin Lopez,North Jason
AGT10190,Charles Ramirez,North Scott,73.27855420754815,15,no,baileymichelle@example.net,765.577.7080x3952,Michael Lewis,New Carolynberg
AGT10191,Joshua Cooper,South Andrewchester,54.673562323644035,6,no,johnstonronald@example.net,(981)400-0962x49505,Shane Le,New Donald
AGT10192,Brian Copeland,Woodhaven,55.2007881552802,11,yes,victoria58@example.com,(762)998-8224x28685,Deborah Mccarthy,Andrewhaven
AGT10193,Thomas Gutierrez,Martinton,87.81401782097515,12,yes,greid@example.net,(355)330-9940x8230,Jeffrey Daugherty,Albertport
AGT10194,Tammy Rogers,Joanview,75.09227103360234,17,yes,gomezkatherine@example.com,501-335-7021x662,Richard Smith,Adamsview
AGT10195,Marc Johnson,East Robertofort,78.11490071633018,17,yes,andreabraun@example.net,671-341-4814,Jesse Mcbride,Lake Geraldstad
AGT10196,Christina Wright,Danastad,78.32998156271856,8,yes,tammy95@example.com,+1-447-611-0930x1436,Spencer Miller,Cookfurt
AGT10197,Lisa Mason,New Jaredtown,87.2721460379528,15,no,alexanderhansen@example.org,575.767.3505x7574,Matthew Hancock,East Amanda
AGT10198,Mary Ortiz,Carsonborough,78.00256624022707,14,yes,john95@example.com,(820)319-6098,Christopher Perkins,Thompsonside
AGT10199,Sarah Carroll,Courtneybury,68.48520200804259,3,yes,charles79@example.org,(639)868-5626x2968,Chad Long,Glennport
AGT10200,Craig Jacobson,Mathewsport,77.91370754431236,17,no,kristen21@example.net,(424)745-0252x74154,Kelly Guzman,Lake Amanda
AGT10201,Rebecca Lopez,Brianbury,80.4693311077246,7,no,stephen41@example.com,(947)430-6307x43079,Cameron Horton,Alexville
AGT10202,Jacob Lee,Lindashire,71.09451292987278,8,yes,mjohnson@example.net,+1-977-817-3464x8117,Elaine Moore,Amyport
AGT10203,Robert Mcgrath,East Alyssa,57.40159152055072,4,yes,foxjerry@example.org,(601)381-7726,Steven Greene,Guerrerofort
